п	043f	0xa874
р	0440	0xa875
с	0441	0xa876
т	0442	0xa877
у	0443	0xa878
ф	0444	0xa879
х	0445	0xa87a
ц	0446	0xa87b
ч	0447	0xa87c
ш	0448	0xa87d
щ	0449	0xa87e
ъ	044a	0xa87f
ы	044b	0xa880
ь	044c	0xa881
э	044d	0xa882
ю	044e	0xa883
я	044f	0xa884
ā	0101	0xa892
á	00e1	0xa893
ǎ	01ce	0xa894
à	00e0	0xa895
ē	0113	0xa896
é	00e9	0xa897
ě	011b	0xa898
è	00e8	0xa899
ī	012b	0xa89a
í	00ed	0xa89b
ǐ	01d0	0xa89c
ì	00ec	0xa89d
ō	014d	0xa89e
ó	00f3	0xa89f
ǒ	01d2	0xa8a0
ò	00f2	0xa8a1
ū	016b	0xa8a2
ú	00fa	0xa8a3
ǔ	01d4	0xa8a4
ù	00f9	0xa8a5
ǖ	01d6	0xa8a6
ǘ	01d8	0xa8a7
ǚ	01da	0xa8a8
ǜ	01dc	0xa8a9
ü	00fc	0xa8aa
ê	00ea	0xa8ab
ㄅ	3105	0xa8b6
ㄆ	3106	0xa8b7
ㄇ	3107	0xa8b8
ㄈ	3108	0xa8b9
ㄉ	3109	0xa8ba
ㄊ	310a	0xa8bb
ㄋ	310b	0xa8bc
ㄌ	310c	0xa8bd
ㄍ	310d	0xa8be
ㄎ	310e	0xa8bf
ㄏ	310f	0xa8c0
ㄐ	3110	0xa8c1
ㄑ	3111	0xa8c2
ㄒ	3112	0xa8c3
ㄓ	3113	0xa8c4
ㄔ	3114	0xa8c5
ㄕ	3115	0xa8c6
ㄖ	3116	0xa8c7
ㄗ	3117	0xa8c8
ㄘ	3118	0xa8c9
ㄙ	3119	0xa8ca
ㄚ	311a	0xa8cb
ㄛ	311b	0xa8cc
ㄜ	311c	0xa8cd
ㄝ	311d	0xa8ce
ㄞ	311e	0xa8cf
ㄟ	311f	0xa8d0
ㄠ	3120	0xa8d1
ㄡ	3121	0xa8d2
ㄢ	3122	0xa8d3
ㄣ	3123	0xa8d4
ㄤ	3124	0xa8d5
ㄥ	3125	0xa8d6
ㄦ	3126	0xa8d7
ㄧ	3127	0xa8d8
ㄨ	3128	0xa8d9
ㄩ	3129	0xa8da
─	2500	0xa8f3
━	2501	0xa8f4
│	2502	0xa8f5
┃	2503	0xa8f6
┄	2504	0xa8f7
┅	2505	0xa8f8
┆	2506	0xa8f9
┇	2507	0xa8fa
┈	2508	0xa8fb
┉	2509	0xa8fc
┊	250a	0xa8fd
┋	250b	0xa8fe
┌	250c	0xa8ff
┍	250d	0xa900
┎	250e	0xa901
┏	250f	0xa902
┐	2510	0xa903
┑	2511	0xa904
┒	2512	0xa905
┓	2513	0xa906
└	2514	0xa907
┕	2515	0xa908
┖	2516	0xa909
┗	2517	0xa90a
┘	2518	0xa90b
┙	2519	0xa90c
┚	251a	0xa90d
┛	251b	0xa90e
├	251c	0xa90f
┝	251d	0xa910
┞	251e	0xa911
┟	251f	0xa912
┠	2520	0xa913
┡	2521	0xa914
┢	2522	0xa915
┣	2523	0xa916
┤	2524	0xa917
┥	2525	0xa918
┦	2526	0xa919
┧	2527	0xa91a
┨	2528	0xa91b
┩	2529	0xa91c
┪	252a	0xa91d
┫	252b	0xa91e
┬	252c	0xa91f
┭	252d	0xa920
┮	252e	0xa921
┯	252f	0xa922
┰	2530	0xa923
┱	2531	0xa924
┲	2532	0xa925
┳	2533	0xa926
┴	2534	0xa927
┵	2535	0xa928
┶	2536	0xa929
┷	2537	0xa92a
┸	2538	0xa92b
┹	2539	0xa92c
┺	253a	0xa92d
┻	253b	0xa92e
┼	253c	0xa92f
┽	253d	0xa930
┾	253e	0xa931
┿	253f	0xa932
╀	2540	0xa933
╁	2541	0xa934
╂	2542	0xa935
╃	2543	0xa936
╄	2544	0xa937
╅	2545	0xa938
╆	2546	0xa939
╇	2547	0xa93a
╈	2548	0xa93b
╉	2549	0xa93c
╊	254a	0xa93d
╋	254b	0xa93e
啊	554a	0xab82
阿	963f	0xab83
埃	57c3	0xab84
挨	6328	0xab85
哎	54ce	0xab86
唉	5509	0xab87
哀	54c0	0xab88
皑	7691	0xab89
癌	764c	0xab8a
蔼	853c	0xab8b
矮	77ee	0xab8c
艾	827e	0xab8d
碍	788d	0xab8e
爱	7231	0xab8f
隘	9698	0xab90
鞍	978d	0xab91
氨	6c28	0xab92
安	5b89	0xab93
俺	4ffa	0xab94
按	6309	0xab95
暗	6697	0xab96
岸	5cb8	0xab97
胺	80fa	0xab98
案	6848	0xab99
肮	80ae	0xab9a
昂	6602	0xab9b
盎	76ce	0xab9c
凹	51f9	0xab9d
敖	6556	0xab9e
熬	71ac	0xab9f
翱	7ff1	0xaba0
袄	8884	0xaba1
傲	50b2	0xaba2
奥	5965	0xaba3
懊	61ca	0xaba4
澳	6fb3	0xaba5
芭	82ad	0xaba6
捌	634c	0xaba7
扒	6252	0xaba8
叭	53ed	0xaba9
吧	5427	0xabaa
笆	7b06	0xabab
八	516b	0xabac
疤	75a4	0xabad
巴	5df4	0xabae
拔	62d4	0xabaf
跋	8dcb	0xabb0
靶	9776	0xabb1
把	628a	0xabb2
耙	8019	0xabb3
坝	575d	0xabb4
霸	9738	0xabb5
罢	7f62	0xabb6
爸	7238	0xabb7
白	767d	0xabb8
柏	67cf	0xabb9
百	767e	0xabba
摆	6446	0xabbb
佰	4f70	0xabbc
败	8d25	0xabbd
拜	62dc	0xabbe
稗	7a17	0xabbf
斑	6591	0xabc0
班	73ed	0xabc1
